"SUBS_MSISDN","EVENT_DT","CUST_REV"
"2i0a4g6e0a0a8c1j7d8c",2015-09-02,2.16
"2i0a4g6e0a0a8c1j7d8c",2015-09-03,0
"2i0a4g6e0a0a8c1j7d8c",2015-09-04,6.2
"2i0a4g6e0a0a8c1j7d8c",2015-09-05,85.3057
"2i0a4g6e0a0a8c1j7d8c",2015-09-06,0.28
"2i0a4g6e0a0a8c1j7d8c",2015-09-07,0
"2i0a4g6e0a0a8c1j7d8c",2015-09-08,0
"2i0a4g6e0a0a8c1j7d8c",2015-09-09,10.15
"2i0a4g6e0a0a8c1j7d8c",2015-09-10,4.2
"2i0a4g6e0a0a8c1j7d8c",2015-09-11,6.18
"2i0a4g6e0a0a8c1j7d8c",2015-09-12,7.66
"2i0a4g6e0a0a8c1j7d8c",2015-09-13,0.75
"2i0a4g6e0a0a8c1j7d8c",2015-09-14,0.79
"2i0a4g6e0a0a8c1j7d8c",2015-09-15,2.34
"2i0a4g6e0a0a8c1j7d8c",2015-09-16,4.13
"2i0a4g6e0a0a8c1j7d8c",2015-09-17,1.22
"2i0a0a9b1j7d7d7d3h4g",2015-09-02,43.69
"2i0a0a9b1j7d7d7d3h4g",2015-09-03,8.7049
"2i0a0a9b1j4g0a4g0a0a",2015-09-02,0
"2i0a0a9b0a9b0a8c2i7d",2015-09-02,1.935
"2i0a4g6e0a0a3h6e3h4g",2015-09-02,1.26
"2i0a0a9b1j7d7d7d3h4g",2015-09-04,1.195
"2i0a0a9b0a9b0a8c2i7d",2015-09-03,2.895
"2i0a0a9b1j4g0a4g0a0a",2015-09-03,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-05,1.075
"2i0a4g6e0a0a3h6e3h4g",2015-09-03,3.256
"2i0a0a9b1j7d7d7d3h4g",2015-09-06,5.11
"2i0a0a9b0a9b0a8c2i7d",2015-09-04,32.08
"2i0a0a9b1j4g0a4g0a0a",2015-09-04,8.082
"2i0a4g6e0a0a3h6e3h4g",2015-09-04,8.716
"2i0a0a9b1j7d7d7d3h4g",2015-09-07,20.3099
"2i0a0a9b0a9b0a8c2i7d",2015-09-05,14.3549
"2i0a0a9b1j4g0a4g0a0a",2015-09-05,0.38
"2i0a4g6e0a0a3h6e3h4g",2015-09-05,1.116
"2i0a0a9b0a9b0a8c2i7d",2015-09-06,14.505
"2i0a0a9b1j4g0a4g0a0a",2015-09-06,0
"2i0a4g6e0a0a3h6e3h4g",2015-09-06,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-08,21
"2i0a0a9b1j7d7d7d3h4g",2015-09-09,10.5399
"2i0a0a9b1j4g0a4g0a0a",2015-09-07,0
"2i0a0a9b0a9b0a8c2i7d",2015-09-07,19.8649
"2i0a4g6e0a0a3h6e3h4g",2015-09-07,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-10,27.225
"2i0a0a9b0a9b0a8c2i7d",2015-09-08,5.6649
"2i0a0a9b1j4g0a4g0a0a",2015-09-08,0
"2i0a4g6e0a0a3h6e3h4g",2015-09-08,-13.8006
"2i0a0a9b0a9b0a8c2i7d",2015-09-09,24.32
"2i0a4g6e0a0a3h6e3h4g",2015-09-09,2.604
"2i0a0a9b1j7d7d7d3h4g",2015-09-11,22.3048
"2i0a0a9b1j4g0a4g0a0a",2015-09-09,NA
"2i0a0a9b0a9b0a8c2i7d",2015-09-10,10.025
"2i0a0a9b1j4g0a4g0a0a",2015-09-10,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-12,27.2049
"2i0a4g6e0a0a3h6e3h4g",2015-09-10,6.924
"2i0a0a9b1j7d7d7d3h4g",2015-09-13,28.005
"2i0a0a9b0a9b0a8c2i7d",2015-09-11,26.1708
"2i0a4g6e0a0a3h6e3h4g",2015-09-11,7.776
"2i0a0a9b1j4g0a4g0a0a",2015-09-11,0
"2i0a0a9b0a9b0a8c2i7d",2015-09-12,4.404
"2i0a4g6e0a0a3h6e3h4g",2015-09-12,3.696
"2i0a0a9b1j7d7d7d3h4g",2015-09-14,13.6048
"2i0a0a9b0a9b0a8c2i7d",2015-09-13,0
"2i0a4g6e0a0a3h6e3h4g",2015-09-13,2.14
"2i0a0a9b1j4g0a4g0a0a",2015-09-12,NA
"2i0a0a9b1j4g0a4g0a0a",2015-09-13,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-15,7.135
"2i0a0a9b1j7d7d7d3h4g",2015-09-16,13.605
"2i0a4g6e0a0a3h6e3h4g",2015-09-14,7.164
"2i0a0a9b0a9b0a8c2i7d",2015-09-14,14.3358
"2i0a0a9b1j7d7d7d3h4g",2015-09-17,5.69
"2i0a0a9b1j4g0a4g0a0a",2015-09-14,7.7899
"2i0a0a9b0a9b0a8c2i7d",2015-09-15,3.15
"2i0a4g6e0a0a3h6e3h4g",2015-09-15,12.192
"2i0a0a9b1j4g0a4g0a0a",2015-09-15,18.52
"2i0a0a9b0a9b0a8c2i7d",2015-09-16,33.8708
"2i0a4g6e0a0a3h6e3h4g",2015-09-16,0.852
"2i0a0a9b1j4g0a4g0a0a",2015-09-16,3.16
"2i0a0a9b1j4g0a4g0a0a",2015-09-17,0.54
"2i0a4g6e0a0a3h6e3h4g",2015-09-17,48.16
"2i0a0a9b0a9b0a8c2i7d",2015-09-17,23.8308
"2i0a4g6e0a0a8c1j7d8c",2015-10-01,1.24
"2i0a0a9b1j7d7d7d3h4g",2015-10-01,0
"2i0a4g6e0a0a3h6e3h4g",2015-10-01,0.888
"2i0a0a9b0a9b0a8c2i7d",2015-10-01,2.9055
"2i0a0a9b1j4g0a4g0a0a",2015-10-01,1.24
"2i0a4g6e0a0a8c1j7d8c",2015-10-02,1.73
"2i0a0a9b1j7d7d7d3h4g",2015-10-02,43.8084
"2i0a4g6e0a0a3h6e3h4g",2015-10-02,0
"2i0a0a9b0a9b0a8c2i7d",2015-10-02,0.351
"2i0a0a9b1j4g0a4g0a0a",2015-10-02,10.06
"2i0a4g6e0a0a8c1j7d8c",2015-09-18,2.11
"2i0a4g6e0a0a8c1j7d8c",2015-09-19,0
"2i0a4g6e0a0a8c1j7d8c",2015-09-20,3.74
"2i0a4g6e0a0a8c1j7d8c",2015-09-21,0
"2i0a4g6e0a0a8c1j7d8c",2015-09-22,72.5682
"2i0a4g6e0a0a8c1j7d8c",2015-09-23,43.5439
"2i0a4g6e0a0a8c1j7d8c",2015-09-24,0.5
"2i0a4g6e0a0a8c1j7d8c",2015-09-25,13.64
"2i0a4g6e0a0a8c1j7d8c",2015-09-26,2.65
"2i0a4g6e0a0a8c1j7d8c",2015-09-27,0.84
"2i0a4g6e0a0a8c1j7d8c",2015-09-28,3.68
"2i0a4g6e0a0a8c1j7d8c",2015-09-29,8.13
"2i0a4g6e0a0a8c1j7d8c",2015-09-30,0.86
"2i0a0a9b1j7d7d7d3h4g",2015-09-18,6.62
"2i0a0a9b1j7d7d7d3h4g",2015-09-19,23.2208
"2i0a0a9b1j7d7d7d3h4g",2015-09-20,1
"2i0a4g6e0a0a3h6e3h4g",2015-09-18,137.5372
"2i0a0a9b0a9b0a8c2i7d",2015-09-18,29.1106
"2i0a0a9b1j4g0a4g0a0a",2015-09-18,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-21,9.5898
"2i0a4g6e0a0a3h6e3h4g",2015-09-19,7.884
"2i0a0a9b0a9b0a8c2i7d",2015-09-19,24.705
"2i0a0a9b1j4g0a4g0a0a",2015-09-19,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-22,13.06
"2i0a0a9b0a9b0a8c2i7d",2015-09-20,36.4975
"2i0a0a9b1j4g0a4g0a0a",2015-09-20,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-23,10.05
"2i0a4g6e0a0a3h6e3h4g",2015-09-20,4.368
"2i0a4g6e0a0a3h6e3h4g",2015-09-21,7.744
"2i0a0a9b0a9b0a8c2i7d",2015-09-21,6.51
"2i0a0a9b1j7d7d7d3h4g",2015-09-24,8.4
"2i0a0a9b1j4g0a4g0a0a",2015-09-21,0
"2i0a4g6e0a0a3h6e3h4g",2015-09-22,3.564
"2i0a0a9b0a9b0a8c2i7d",2015-09-22,64.9678
"2i0a0a9b1j4g0a4g0a0a",2015-09-22,NA
"2i0a4g6e0a0a3h6e3h4g",2015-09-23,10.9077
"2i0a0a9b1j7d7d7d3h4g",2015-09-25,8.4409
"2i0a0a9b0a9b0a8c2i7d",2015-09-23,12.159
"2i0a0a9b1j4g0a4g0a0a",2015-09-23,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-26,19.1555
"2i0a4g6e0a0a3h6e3h4g",2015-09-24,1.764
"2i0a0a9b1j7d7d7d3h4g",2015-09-27,4.9289
"2i0a0a9b0a9b0a8c2i7d",2015-09-24,40.9623
"2i0a0a9b1j4g0a4g0a0a",2015-09-24,0
"2i0a4g6e0a0a3h6e3h4g",2015-09-25,8.232
"2i0a0a9b1j4g0a4g0a0a",2015-09-25,-11.9305
"2i0a0a9b0a9b0a8c2i7d",2015-09-25,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-28,6.4025
"2i0a4g6e0a0a3h6e3h4g",2015-09-26,6.84
"2i0a0a9b1j4g0a4g0a0a",2015-09-26,12.46
"2i0a0a9b0a9b0a8c2i7d",2015-09-26,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-29,17.19
"2i0a4g6e0a0a3h6e3h4g",2015-09-27,1.116
"2i0a0a9b1j4g0a4g0a0a",2015-09-27,9.3
"2i0a0a9b0a9b0a8c2i7d",2015-09-27,42.5332
"2i0a0a9b1j7d7d7d3h4g",2015-09-30,4.1743
"2i0a4g6e0a0a3h6e3h4g",2015-09-28,0
"2i0a0a9b1j4g0a4g0a0a",2015-09-28,2.52
"2i0a0a9b0a9b0a8c2i7d",2015-09-28,8.187
"2i0a4g6e0a0a3h6e3h4g",2015-09-29,11.496
"2i0a0a9b0a9b0a8c2i7d",2015-09-29,9.105
"2i0a0a9b1j4g0a4g0a0a",2015-09-29,0
"2i0a4g6e0a0a3h6e3h4g",2015-09-30,5.712
"2i0a0a9b1j4g0a4g0a0a",2015-09-30,4.78
"2i0a0a9b0a9b0a8c2i7d",2015-09-30,4.6915
"2i0a4g6e0a0a8c1j7d8c",2015-10-03,1.13
"2i0a0a9b1j7d7d7d3h4g",2015-10-03,5.1555
"2i0a4g6e0a0a3h6e3h4g",2015-10-03,7.9145
"2i0a0a9b1j4g0a4g0a0a",2015-10-03,22.68
"2i0a4g6e0a0a8c1j7d8c",2015-10-04,8.44
"2i0a0a9b1j7d7d7d3h4g",2015-10-04,14.85
"2i0a0a9b0a9b0a8c2i7d",2015-10-03,NA
"2i0a4g6e0a0a3h6e3h4g",2015-10-04,9.3869
"2i0a0a9b1j4g0a4g0a0a",2015-10-04,0.96
"2i0a4g6e0a0a8c1j7d8c",2015-10-05,13.87
"2i0a4g6e0a0a8c1j7d8c",2015-10-06,1.37
"2i0a0a9b0a9b0a8c2i7d",2015-10-04,NA
"2i0a0a9b1j7d7d7d3h4g",2015-10-05,4.969
"2i0a4g6e0a0a8c1j7d8c",2015-10-07,0.39
"2i0a4g6e0a0a3h6e3h4g",2015-10-05,3.127
"2i0a0a9b0a9b0a8c2i7d",2015-10-05,NA
"2i0a0a9b1j4g0a4g0a0a",2015-10-05,NA
"2i0a0a9b1j7d7d7d3h4g",2015-10-06,4.457
"2i0a4g6e0a0a3h6e3h4g",2015-10-06,3.8232
"2i0a4g6e0a0a8c1j7d8c",2015-10-08,0.28
"2i0a0a9b1j7d7d7d3h4g",2015-10-07,5.118
"2i0a0a9b0a9b0a8c2i7d",2015-10-06,NA
"2i0a0a9b1j4g0a4g0a0a",2015-10-06,NA
"2i0a4g6e0a0a8c1j7d8c",2015-10-09,5.42
"2i0a4g6e0a0a3h6e3h4g",2015-10-07,0.9716
"2i0a0a9b1j4g0a4g0a0a",2015-10-07,2.1787
"2i0a4g6e0a0a8c1j7d8c",2015-10-10,0.38
"2i0a0a9b1j7d7d7d3h4g",2015-10-08,-0.1996
"2i0a0a9b0a9b0a8c2i7d",2015-10-07,NA
"2i0a4g6e0a0a3h6e3h4g",2015-10-08,5.1979
"2i0a0a9b1j4g0a4g0a0a",2015-10-08,0
"2i0a0a9b0a9b0a8c2i7d",2015-10-08,9.1158
"2i0a4g6e0a0a8c1j7d8c",2015-10-11,2.75
"2i0a4g6e0a0a8c1j7d8c",2015-10-12,0.11
"2i0a0a9b1j7d7d7d3h4g",2015-10-09,6.249
"2i0a4g6e0a0a3h6e3h4g",2015-10-09,129.1424
"2i0a0a9b1j4g0a4g0a0a",2015-10-09,1.2328
"2i0a0a9b0a9b0a8c2i7d",2015-10-09,8.4
"2i0a4g6e0a0a8c1j7d8c",2015-10-13,-14.0926
"2i0a0a9b1j7d7d7d3h4g",2015-10-10,23.2505
"2i0a4g6e0a0a3h6e3h4g",2015-10-10,2.9559
"2i0a0a9b1j4g0a4g0a0a",2015-10-10,9.3961
"2i0a0a9b0a9b0a8c2i7d",2015-10-10,2.7716
"2i0a4g6e0a0a8c1j7d8c",2015-10-14,1.37
"2i0a0a9b1j7d7d7d3h4g",2015-10-11,3.2765
"2i0a4g6e0a0a8c1j7d8c",2015-10-15,11.85
"2i0a4g6e0a0a3h6e3h4g",2015-10-11,10.0656
"2i0a0a9b0a9b0a8c2i7d",2015-10-11,2.7
"2i0a0a9b1j4g0a4g0a0a",2015-10-11,4.9041
"2i0a4g6e0a0a8c1j7d8c",2015-10-16,7.31
"2i0a0a9b1j7d7d7d3h4g",2015-10-12,0.9139
"2i0a4g6e0a0a3h6e3h4g",2015-10-12,6.797
"2i0a0a9b0a9b0a8c2i7d",2015-10-12,2.1
"2i0a0a9b1j4g0a4g0a0a",2015-10-12,15.8195
"2i0a4g6e0a0a8c1j7d8c",2015-10-17,0.34
"2i0a0a9b1j7d7d7d3h4g",2015-10-13,3.404
"2i0a4g6e0a0a3h6e3h4g",2015-10-13,48.248
"2i0a0a9b0a9b0a8c2i7d",2015-10-13,5.8
"2i0a0a9b1j4g0a4g0a0a",2015-10-13,0
"2i0a4g6e0a0a8c1j7d8c",2015-10-18,8.22
"2i0a0a9b1j7d7d7d3h4g",2015-10-14,5.8475
"2i0a4g6e0a0a3h6e3h4g",2015-10-14,4.968
"2i0a0a9b0a9b0a8c2i7d",2015-10-14,25.7
"2i0a0a9b1j4g0a4g0a0a",2015-10-14,15.1772
"2i0a0a9b1j7d7d7d3h4g",2015-10-15,5.588
"2i0a4g6e0a0a3h6e3h4g",2015-10-15,-0.8965
"2i0a0a9b0a9b0a8c2i7d",2015-10-15,2.2
"2i0a0a9b1j4g0a4g0a0a",2015-10-15,0
