"SUBS_MSISDN","EVENT_DT","CUST_REV"
"2i0a0a9b1j7d7d7d3h4g",2015-10-16,8.0384
"2i0a4g6e0a0a3h6e3h4g",2015-10-16,7.936
"2i0a0a9b0a9b0a8c2i7d",2015-10-16,11.5
"2i0a0a9b1j4g0a4g0a0a",2015-10-16,2.5
"2i0a0a9b1j7d7d7d3h4g",2015-10-17,4.755
"2i0a4g6e0a0a3h6e3h4g",2015-10-17,3.104
"2i0a0a9b0a9b0a8c2i7d",2015-10-17,12.3158
"2i0a0a9b1j4g0a4g0a0a",2015-10-17,3.2319
"2i0a4g6e0a0a3h6e3h4g",2015-10-18,3.312
"2i0a0a9b1j7d7d7d3h4g",2015-10-18,10.934
"2i0a0a9b0a9b0a8c2i7d",2015-10-18,45.5575
"2i0a0a9b1j4g0a4g0a0a",2015-10-18,0.5497
"2i0a4g6e0a0a8c1j7d8c",2015-10-19,10.27
"2i0a4g6e0a0a8c1j7d8c",2015-10-20,18.06
"2i0a4g6e0a0a8c1j7d8c",2015-10-21,19.3881
"2i0a4g6e0a0a8c1j7d8c",2015-10-22,12.847
"2i0a4g6e0a0a8c1j7d8c",2015-10-23,1.07
"2i0a4g6e0a0a8c1j7d8c",2015-10-24,0.59
"2i0a0a9b1j7d7d7d3h4g",2015-10-19,8.2655
"2i0a4g6e0a0a8c1j7d8c",2015-10-25,0.87
"2i0a0a9b1j7d7d7d3h4g",2015-10-20,2.358
"2i0a4g6e0a0a3h6e3h4g",2015-10-19,2.944
"2i0a4g6e0a0a8c1j7d8c",2015-10-26,0.31
"2i0a0a9b0a9b0a8c2i7d",2015-10-19,0.6
"2i0a0a9b1j4g0a4g0a0a",2015-10-19,0
"2i0a4g6e0a0a8c1j7d8c",2015-10-27,0.26
"2i0a4g6e0a0a3h6e3h4g",2015-10-20,5.328
"2i0a0a9b1j4g0a4g0a0a",2015-10-20,0
"2i0a0a9b0a9b0a8c2i7d",2015-10-20,10.2
"2i0a0a9b1j7d7d7d3h4g",2015-10-21,7.641
"2i0a4g6e0a0a8c1j7d8c",2015-10-28,13.23
"2i0a4g6e0a0a3h6e3h4g",2015-10-21,3.952
"2i0a0a9b1j4g0a4g0a0a",2015-10-21,0.0166
"2i0a0a9b1j7d7d7d3h4g",2015-10-22,-0.403
"2i0a0a9b0a9b0a8c2i7d",2015-10-21,6.2
"2i0a0a9b1j4g0a4g0a0a",2015-10-22,0
"2i0a4g6e0a0a3h6e3h4g",2015-10-22,2.48
"2i0a0a9b0a9b0a8c2i7d",2015-10-22,18.8
"2i0a4g6e0a0a8c1j7d8c",2015-10-29,0.18
"2i0a0a9b1j7d7d7d3h4g",2015-10-23,4.136
"2i0a4g6e0a0a8c1j7d8c",2015-10-30,0
"2i0a4g6e0a0a8c1j7d8c",2015-10-31,10.18
"2i0a0a9b1j4g0a4g0a0a",2015-10-23,0
"2i0a0a9b1j7d7d7d3h4g",2015-10-24,16.9358
"2i0a4g6e0a0a3h6e3h4g",2015-10-23,0.096
"2i0a0a9b0a9b0a8c2i7d",2015-10-23,3.8
"2i0a0a9b1j4g0a4g0a0a",2015-10-24,0.0333
"2i0a0a9b1j7d7d7d3h4g",2015-10-25,2.661
"2i0a4g6e0a0a3h6e3h4g",2015-10-24,1.176
"2i0a0a9b0a9b0a8c2i7d",2015-10-24,1.9
"2i0a4g6e0a0a8c1j7d8c",2015-11-01,5.71
"2i0a0a9b1j4g0a4g0a0a",2015-10-25,0
"2i0a4g6e0a0a3h6e3h4g",2015-10-25,4.256
"2i0a0a9b0a9b0a8c2i7d",2015-10-25,2.2
"2i0a0a9b1j7d7d7d3h4g",2015-10-26,3.1
"2i0a4g6e0a0a8c1j7d8c",2015-11-02,6.29
"2i0a4g6e0a0a8c1j7d8c",2015-11-03,0.37
"2i0a0a9b1j7d7d7d3h4g",2015-10-27,3.631
"2i0a0a9b1j4g0a4g0a0a",2015-10-26,0
"2i0a4g6e0a0a3h6e3h4g",2015-10-26,25.176
"2i0a0a9b0a9b0a8c2i7d",2015-10-26,3.5
"2i0a0a9b1j4g0a4g0a0a",2015-10-27,0.1189
"2i0a4g6e0a0a3h6e3h4g",2015-10-27,8.676
"2i0a0a9b1j7d7d7d3h4g",2015-10-28,-4.6113
"2i0a0a9b0a9b0a8c2i7d",2015-10-27,3.742
"2i0a0a9b1j4g0a4g0a0a",2015-10-28,0.683
"2i0a4g6e0a0a3h6e3h4g",2015-10-28,9.792
"2i0a0a9b1j7d7d7d3h4g",2015-10-29,16.4085
"2i0a0a9b0a9b0a8c2i7d",2015-10-28,15.9158
"2i0a0a9b1j4g0a4g0a0a",2015-10-29,0
"2i0a4g6e0a0a3h6e3h4g",2015-10-29,-4.3765
"2i0a0a9b0a9b0a8c2i7d",2015-10-29,3.4
"2i0a0a9b1j7d7d7d3h4g",2015-10-30,7.2735
"2i0a0a9b1j7d7d7d3h4g",2015-10-31,10.866
"2i0a4g6e0a0a3h6e3h4g",2015-10-30,54.084
"2i0a0a9b1j4g0a4g0a0a",2015-10-30,3.6586
"2i0a0a9b0a9b0a8c2i7d",2015-10-30,0.3
"2i0a4g6e0a0a3h6e3h4g",2015-10-31,1.356
"2i0a0a9b1j4g0a4g0a0a",2015-10-31,3.61
"2i0a0a9b1j7d7d7d3h4g",2015-11-01,17.5695
"2i0a0a9b0a9b0a8c2i7d",2015-10-31,5.1
"2i0a4g6e0a0a3h6e3h4g",2015-11-01,5.1
"2i0a0a9b1j4g0a4g0a0a",2015-11-01,3.3248
"2i0a0a9b0a9b0a8c2i7d",2015-11-01,2.4
"2i0a0a9b1j7d7d7d3h4g",2015-11-02,44.5482
"2i0a0a9b1j7d7d7d3h4g",2015-11-03,17.5118
"2i0a4g6e0a0a3h6e3h4g",2015-11-02,5.82
"2i0a0a9b1j4g0a4g0a0a",2015-11-02,2.5489
"2i0a0a9b0a9b0a8c2i7d",2015-11-02,0.6
"2i0a4g6e0a0a3h6e3h4g",2015-11-03,17.4597
"2i0a0a9b1j4g0a4g0a0a",2015-11-03,2.0499
"2i0a0a9b0a9b0a8c2i7d",2015-11-03,5.442
"2i0a4g6e0a0a8c1j7d8c",2015-11-04,1.35
"2i0a4g6e0a0a8c1j7d8c",2015-11-05,0
"2i0a4g6e0a0a8c1j7d8c",2015-11-06,0
"2i0a4g6e0a0a8c1j7d8c",2015-11-07,3.91
"2i0a4g6e0a0a8c1j7d8c",2015-11-08,0
"2i0a4g6e0a0a8c1j7d8c",2015-11-09,1.97
"2i0a4g6e0a0a8c1j7d8c",2015-11-10,0.28
"2i0a4g6e0a0a8c1j7d8c",2015-11-11,1.51
"2i0a4g6e0a0a8c1j7d8c",2015-11-12,4.89
"2i0a0a9b1j7d7d7d3h4g",2015-11-04,61.3201
"2i0a4g6e0a0a8c1j7d8c",2015-11-13,0
"2i0a4g6e0a0a8c1j7d8c",2015-11-14,1.04
"2i0a0a9b1j7d7d7d3h4g",2015-11-05,44.6347
"2i0a0a9b1j4g0a4g0a0a",2015-11-04,0.2665
"2i0a4g6e0a0a3h6e3h4g",2015-11-04,127.8895
"2i0a0a9b0a9b0a8c2i7d",2015-11-04,3.4
"2i0a0a9b1j7d7d7d3h4g",2015-11-06,21.755
"2i0a0a9b1j4g0a4g0a0a",2015-11-05,-7.8681
"2i0a4g6e0a0a3h6e3h4g",2015-11-05,13.092
"2i0a4g6e0a0a8c1j7d8c",2015-11-15,7.86
"2i0a0a9b0a9b0a8c2i7d",2015-11-05,2.642
"2i0a4g6e0a0a8c1j7d8c",2015-11-16,2.94
"2i0a0a9b1j7d7d7d3h4g",2015-11-07,26.5157
"2i0a4g6e0a0a8c1j7d8c",2015-11-17,2.25
"2i0a4g6e0a0a3h6e3h4g",2015-11-06,2.148
"2i0a0a9b1j4g0a4g0a0a",2015-11-06,0
"2i0a0a9b1j7d7d7d3h4g",2015-11-08,3.736
"2i0a0a9b0a9b0a8c2i7d",2015-11-06,3.1
"2i0a4g6e0a0a8c1j7d8c",2015-11-18,19.71
"2i0a0a9b1j4g0a4g0a0a",2015-11-07,2.4156
"2i0a4g6e0a0a3h6e3h4g",2015-11-07,3.84
"2i0a0a9b1j7d7d7d3h4g",2015-11-09,0.1
"2i0a0a9b0a9b0a8c2i7d",2015-11-07,1.5635
"2i0a4g6e0a0a3h6e3h4g",2015-11-08,3.336
"2i0a0a9b1j4g0a4g0a0a",2015-11-08,5.2819
"2i0a4g6e0a0a8c1j7d8c",2015-11-19,18.8695
"2i0a0a9b0a9b0a8c2i7d",2015-11-08,0.234
"2i0a0a9b1j7d7d7d3h4g",2015-11-10,NA
"2i0a4g6e0a0a3h6e3h4g",2015-11-09,2.132
"2i0a0a9b1j4g0a4g0a0a",2015-11-09,1.1994
"2i0a0a9b0a9b0a8c2i7d",2015-11-09,0.39
"2i0a0a9b1j7d7d7d3h4g",2015-11-11,NA
"2i0a4g6e0a0a3h6e3h4g",2015-11-10,11.4516
"2i0a0a9b1j4g0a4g0a0a",2015-11-10,4.6997
"2i0a0a9b0a9b0a8c2i7d",2015-11-10,2.1255
"2i0a4g6e0a0a3h6e3h4g",2015-11-11,1.932
"2i0a0a9b1j4g0a4g0a0a",2015-11-11,5.3144
"2i0a0a9b1j7d7d7d3h4g",2015-11-12,NA
"2i0a0a9b0a9b0a8c2i7d",2015-11-11,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-12,7.884
"2i0a0a9b1j4g0a4g0a0a",2015-11-12,3.8817
"2i0a0a9b1j7d7d7d3h4g",2015-11-13,0
"2i0a0a9b0a9b0a8c2i7d",2015-11-12,NA
"2i0a0a9b1j7d7d7d3h4g",2015-11-14,NA
"2i0a4g6e0a0a3h6e3h4g",2015-11-13,1.8
"2i0a0a9b0a9b0a8c2i7d",2015-11-13,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-13,7.7302
"2i0a4g6e0a0a3h6e3h4g",2015-11-14,8.748
"2i0a0a9b1j7d7d7d3h4g",2015-11-15,NA
"2i0a0a9b1j4g0a4g0a0a",2015-11-14,1.0828
"2i0a0a9b0a9b0a8c2i7d",2015-11-14,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-15,2.184
"2i0a0a9b1j4g0a4g0a0a",2015-11-15,0.9995
"2i0a0a9b1j7d7d7d3h4g",2015-11-16,NA
"2i0a0a9b0a9b0a8c2i7d",2015-11-15,16.0299
"2i0a0a9b0a9b0a8c2i7d",2015-11-16,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-16,7.4469
"2i0a0a9b1j7d7d7d3h4g",2015-11-17,NA
"2i0a4g6e0a0a3h6e3h4g",2015-11-16,1.572
"2i0a4g6e0a0a3h6e3h4g",2015-11-17,7.932
"2i0a0a9b1j7d7d7d3h4g",2015-11-18,NA
"2i0a0a9b0a9b0a8c2i7d",2015-11-17,NA
"2i0a0a9b1j4g0a4g0a0a",2015-11-17,0
"2i0a0a9b1j7d7d7d3h4g",2015-11-19,6.198
"2i0a4g6e0a0a3h6e3h4g",2015-11-18,-0.8156
"2i0a0a9b0a9b0a8c2i7d",2015-11-18,24.2836
"2i0a0a9b1j4g0a4g0a0a",2015-11-18,15.4662
"2i0a0a9b0a9b0a8c2i7d",2015-11-19,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-19,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-19,5.544
"2i0a4g6e0a0a8c1j7d8c",2015-11-20,1.86
"2i0a4g6e0a0a8c1j7d8c",2015-11-21,2.777
"2i0a4g6e0a0a8c1j7d8c",2015-11-22,9.937
"2i0a4g6e0a0a8c1j7d8c",2015-11-23,10.71
"2i0a4g6e0a0a8c1j7d8c",2015-11-24,1.06
"2i0a4g6e0a0a8c1j7d8c",2015-11-25,0.33
"2i0a4g6e0a0a8c1j7d8c",2015-11-26,12.44
"2i0a4g6e0a0a8c1j7d8c",2015-11-27,4.19
"2i0a4g6e0a0a8c1j7d8c",2015-11-28,2.27
"2i0a4g6e0a0a8c1j7d8c",2015-11-29,1.26
"2i0a4g6e0a0a8c1j7d8c",2015-11-30,3.04
"2i0a0a9b1j7d7d7d3h4g",2015-11-20,16.4315
"2i0a0a9b1j7d7d7d3h4g",2015-11-21,5.8715
"2i0a0a9b0a9b0a8c2i7d",2015-11-20,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-20,0
"2i0a0a9b1j7d7d7d3h4g",2015-11-22,7.0775
"2i0a4g6e0a0a3h6e3h4g",2015-11-20,8.124
"2i0a0a9b0a9b0a8c2i7d",2015-11-21,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-21,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-21,10.496
"2i0a0a9b1j7d7d7d3h4g",2015-11-23,0
"2i0a0a9b0a9b0a8c2i7d",2015-11-22,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-22,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-22,31.736
"2i0a0a9b0a9b0a8c2i7d",2015-11-23,15.9099
"2i0a0a9b1j7d7d7d3h4g",2015-11-24,19.8177
"2i0a4g6e0a0a3h6e3h4g",2015-11-23,20.556
"2i0a0a9b1j7d7d7d3h4g",2015-11-25,5.8625
"2i0a0a9b1j4g0a4g0a0a",2015-11-23,NA
"2i0a0a9b0a9b0a8c2i7d",2015-11-24,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-24,4.248
"2i0a0a9b1j4g0a4g0a0a",2015-11-24,0
"2i0a0a9b1j7d7d7d3h4g",2015-11-26,38.3347
"2i0a0a9b0a9b0a8c2i7d",2015-11-25,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-25,8.964
"2i0a0a9b1j4g0a4g0a0a",2015-11-25,8.3904
"2i0a0a9b1j7d7d7d3h4g",2015-11-27,11.7665
"2i0a4g6e0a0a3h6e3h4g",2015-11-26,12.688
"2i0a0a9b0a9b0a8c2i7d",2015-11-26,15.9099
"2i0a0a9b1j7d7d7d3h4g",2015-11-28,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-26,NA
"2i0a4g6e0a0a3h6e3h4g",2015-11-27,41.224
"2i0a0a9b0a9b0a8c2i7d",2015-11-27,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-27,0
"2i0a0a9b1j7d7d7d3h4g",2015-11-29,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-28,0.2418
"2i0a0a9b0a9b0a8c2i7d",2015-11-28,NA
"2i0a0a9b1j4g0a4g0a0a",2015-11-28,0
"2i0a0a9b1j7d7d7d3h4g",2015-11-30,NA
"2i0a4g6e0a0a3h6e3h4g",2015-11-29,8.52
"2i0a0a9b0a9b0a8c2i7d",2015-11-29,0
"2i0a0a9b1j4g0a4g0a0a",2015-11-29,0
"2i0a4g6e0a0a3h6e3h4g",2015-11-30,4.404
"2i0a0a9b1j4g0a4g0a0a",2015-11-30,-6.5055
"2i0a0a9b0a9b0a8c2i7d",2015-11-30,0
